treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,SEK,SEK,1,5,5,1G,120,1.322,6.858625162,6.281452659,590
AB,HOK,SEK,SEK,1,5,5,1H,120,0.448,2.324254215,1.747081712,590
P,HOK,HOK,SEK,1,4,5,2A,120,1.405,7.28923476,6.712062257,590
AB,HOK,HOK,SEK,1,4,5,2B,120,1.693,8.783398184,8.206225681,590
P,SEK,HOK,SEK,1,4,5,2C,120,1.107,5.743190661,5.166018158,590
AB,SEK,HOK,SEK,1,4,5,2D,120,1.667,8.648508431,8.071335927,590
P,SEK,SEK,SEK,1,4,5,2E,120,0.708,3.673151751,3.095979248,590
AB,SEK,SEK,SEK,1,4,5,2F,120,0.467,2.422827497,1.845654994,590
P,HOK,SEK,SEK,1,4,5,2G,120,0.81,4.20233463,3.625162127,590
AB,HOK,SEK,SEK,1,4,5,2H,120,1.261,6.542153048,5.964980545,590
P,HOK,HOK,SEK,1,3,5,3A,120,0.884,4.586251621,4.009079118,590
AB,HOK,HOK,SEK,1,3,5,3B,120,0.273,1.416342412,0.839169909,590
P,SEK,HOK,SEK,1,3,5,3C,120,1.353,7.019455253,6.44228275,590
AB,SEK,HOK,SEK,1,3,5,3D,120,0.44,2.282749676,1.705577173,590
P,SEK,SEK,SEK,1,3,5,3E,120,0.452,2.345006485,1.767833982,590
AB,SEK,SEK,SEK,1,3,5,3F,120,0.815,4.228274968,3.651102464,590
P,HOK,SEK,SEK,1,3,5,3G,120,1.505,7.808041505,7.230869001,590
AB,HOK,SEK,SEK,1,3,5,3H,120,0.348,1.805447471,1.228274968,590
P,HOK,HOK,SEK,1,2,5,4A,120,0.484,2.511024643,1.93385214,590
AB,HOK,HOK,SEK,1,2,5,4B,120,0.625,3.242542153,2.66536965,590
P,SEK,HOK,SEK,1,2,5,4C,120,1.251,6.490272374,5.91309987,590
AB,SEK,HOK,SEK,1,2,5,4D,120,1.164,6.038910506,5.461738003,590
P,SEK,SEK,SEK,1,2,5,4E,120,0.476,2.469520104,1.892347601,590
AB,SEK,SEK,SEK,1,2,5,4F,120,0.368,1.90920882,1.332036316,590
P,HOK,SEK,SEK,1,2,5,4G,120,0.983,5.099870298,4.522697795,590
AB,HOK,SEK,SEK,1,2,5,4H,120,0.549,2.848249027,2.271076524,590
P,HOK,HOK,SEK,1,1,5,5A,120,0.445,2.308690013,1.73151751,590
AB,HOK,HOK,SEK,1,1,5,5B,120,0.945,4.902723735,4.325551232,590
P,SEK,HOK,SEK,1,1,5,5C,120,1.1,5.706874189,5.129701686,590
AB,SEK,HOK,SEK,1,1,5,5D,120,1.71,8.871595331,8.294422827,590
P,SEK,SEK,SEK,1,1,5,5E,120,0.336,1.743190661,1.166018158,590
AB,SEK,SEK,SEK,1,1,5,5F,120,0.511,2.651102464,2.073929961,590
P,HOK,SEK,SEK,1,1,5,5G,120,1.317,6.832684825,6.255512322,590
AB,HOK,SEK,SEK,1,1,5,5H,120,0.59,3.060959792,2.483787289,590
P,HOK,HOK,HOK,1,5,5,6A,120,0.519,2.692607004,2.115434501,590
AB,HOK,HOK,HOK,1,5,5,6B,120,0.152,0.788586252,0.211413748,590
P,SEK,HOK,HOK,1,5,5,6C,120,0.785,4.072632944,3.495460441,590
AB,SEK,HOK,HOK,1,5,5,6D,120,0.523,2.713359274,2.13618677,590
P,SEK,SEK,HOK,1,5,5,6E,120,0.466,2.417639429,1.840466926,590
AB,SEK,SEK,HOK,1,5,5,6F,120,1.431,7.424124514,6.84695201,590
P,HOK,SEK,HOK,1,5,5,6G,120,1.451,7.527885863,6.950713359,590
AB,HOK,SEK,HOK,1,5,5,6H,120,0.538,2.791180285,2.214007782,590
P,HOK,HOK,HOK,1,4,5,7A,120,0.445,2.308690013,1.73151751,590
AB,HOK,HOK,HOK,1,4,5,7B,120,0.346,1.795071336,1.217898833,590
P,SEK,HOK,HOK,1,4,5,7C,120,0.718,3.725032425,3.147859922,590
AB,SEK,HOK,HOK,1,4,5,7D,120,0.304,1.577172503,1,590
P,SEK,SEK,HOK,1,4,5,7E,120,1.016,5.271076524,4.693904021,590
AB,SEK,SEK,HOK,1,4,5,7F,120,0.3,1.556420233,0.97924773,590
P,HOK,SEK,HOK,1,4,5,7G,120,0.271,1.405966278,0.828793774,590
AB,HOK,SEK,HOK,1,4,5,7H,120,0.586,3.040207523,2.463035019,590
P,HOK,HOK,HOK,1,3,5,8A,120,0.429,2.225680934,1.648508431,590
AB,HOK,HOK,HOK,1,3,5,8B,120,0.347,1.800259403,1.2230869,590
P,SEK,HOK,HOK,1,3,5,8C,120,0.348,1.805447471,1.228274968,590
AB,SEK,HOK,HOK,1,3,5,8D,120,0.336,1.743190661,1.166018158,590
P,SEK,SEK,HOK,1,3,5,8E,120,0.515,2.671854734,2.094682231,590
AB,SEK,SEK,HOK,1,3,5,8F,120,0.701,3.636835279,3.059662776,590
P,HOK,SEK,HOK,1,3,5,8G,120,1.193,6.189364462,5.612191958,590
AB,HOK,SEK,HOK,1,3,5,8H,120,1.105,5.732814527,5.155642023,590
P,HOK,HOK,HOK,1,2,5,9A,120,1.529,7.932555123,7.35538262,590
AB,HOK,HOK,HOK,1,2,5,9B,120,0.751,3.896238651,3.319066148,590
P,SEK,HOK,HOK,1,2,5,9C,120,0.507,2.630350195,2.053177691,590
AB,SEK,HOK,HOK,1,2,5,9D,120,0.492,2.552529183,1.97535668,590
P,SEK,SEK,HOK,1,2,5,9E,120,0.408,2.116731518,1.539559014,590
AB,SEK,SEK,HOK,1,2,5,9F,120,0.534,2.770428016,2.193255512,590
P,HOK,SEK,HOK,1,2,5,9G,120,1.98,10.27237354,9.695201038,590
AB,HOK,SEK,HOK,1,2,5,9H,120,1.815,9.416342412,8.839169909,590
P,HOK,HOK,HOK,1,1,5,10A,120,1.245,6.459143969,5.881971466,590
